cycle,use_mercury,cohesion,structural_stability,vitality,viability,rigidity,dissent,identity_drift,light_power,shadow_power,mercury_power,bridge_tension,mercury_motion,alliance_shift,emergence,jester_pulse,judge_closure
51,True,1,0.842261,0.634576,0.703759,0.366504,0.73944,0.007048,0.513695,0.475784,0.444888,0.048698,0.047094,0.054382,0.92903,0.0,0
52,True,1,0.850372,0.632969,0.709921,0.366205,0.749171,0.005816,0.510643,0.480405,0.458929,0.046138,0.045624,0.052096,0.92957,0.0,0
53,True,1,0.853999,0.636383,0.714261,0.365931,0.758838,0.005938,0.509462,0.495772,0.465106,0.043156,0.044488,0.053943,0.930079,0.0,0
54,True,1,0.847184,0.647369,0.712749,0.365655,0.768553,0.007763,0.509031,0.476594,0.438025,0.043908,0.04593,0.058582,0.930597,0.0,0
55,True,0.999127,0.864822,0.637084,0.723586,0.365421,0.778172,0.003645,0.501828,0.472061,0.462277,0.040751,0.042953,0.050779,0.931023,0.0,0
56,True,1,0.869292,0.647619,0.731447,0.365194,0.787782,0.003032,0.504191,0.494712,0.454124,0.039424,0.043286,0.056858,0.931474,0.0,0
57,True,1,0.872171,0.654154,0.736434,0.364975,0.797397,0.002406,0.501271,0.480978,0.446195,0.038937,0.043516,0.0594,0.931918,0.0,0
58,True,1,0.86135,0.648596,0.725144,0.364791,0.806927,0.006933,0.492582,0.47871,0.459627,0.035883,0.041066,0.055153,0.932303,0.0,0
59,True,1,0.87159,0.629923,0.72644,0.364671,0.816304,0.005499,0.494964,0.474213,0.485045,0.031914,0.035381,0.044123,0.932525,0.0,0
60,True,1,0.868276,0.619848,0.719741,0.364594,0.825555,0.008447,0.488248,0.481285,0.475197,0.027736,0.031767,0.037733,0.932678,0.0,0
61,True,0.999935,0.878817,0.607243,0.723494,0.364562,0.834678,0.006569,0.492006,0.482226,0.486053,0.023917,0.027469,0.030187,0.932716,0.0,1
62,True,1,0.893941,0.599059,0.732653,0.364562,0.843708,0.003503,0.491726,0.48171,0.492909,0.020956,0.02449,0.024622,0.932708,0.0,1
63,True,1,0.896012,0.594759,0.732616,0.364587,0.852657,0.004145,0.487922,0.485478,0.479998,0.018134,0.022,0.02189,0.932675,0.0,1
64,True,1,0.900663,0.593528,0.735921,0.364628,0.86155,0.003571,0.482946,0.484612,0.474532,0.01608,0.020214,0.020878,0.932603,0.0,1
65,True,1,0.897831,0.605861,0.73859,0.364657,0.870479,0.004202,0.484781,0.484911,0.512598,0.016524,0.02127,0.027777,0.932558,0.0,1
66,True,1,0.895223,0.616612,0.740775,0.364674,0.87945,0.004491,0.491504,0.488402,0.51887,0.017206,0.02234,0.033168,0.932532,0.0,1
67,True,1,0.889062,0.616712,0.735717,0.364696,0.888422,0.006428,0.478356,0.490837,0.502912,0.017055,0.021777,0.031364,0.932493,0.0,1
68,True,1,0.897841,0.624641,0.746185,0.364705,0.897455,0.003231,0.485548,0.502133,0.524187,0.018622,0.022977,0.033913,0.932464,0.0,1
69,True,1,0.889706,0.642466,0.746561,0.36468,0.906616,0.004184,0.479545,0.497703,0.535208,0.02195,0.026282,0.042133,0.932527,0.2,1
